iter	Passed	Remaining
1432	11526	28691
1433	11534	28682
1434	11542	28674
1435	11549	28665
1436	11557	28656
1437	11565	28648
1438	11573	28640
1439	11581	28632
1440	11589	28623
1441	11597	28615
1442	11605	28608
1443	11613	28600
1444	11621	28592
1445	11629	28583
1446	11637	28575
1447	11645	28567
1448	11653	28559
1449	11661	28550
1450	11669	28542
1451	11677	28535
1452	11685	28526
1453	11693	28518
1454	11701	28509
1455	11709	28500
1456	11717	28492
1457	11725	28484
1458	11733	28476
1459	11740	28467
1460	11748	28458
1461	11756	28450
1462	11764	28443
1463	11772	28434
1464	11780	28426
1465	11788	28417
1466	11796	28409
1467	11804	28400
1468	11811	28391
1469	11819	28383
1470	11838	28400
1471	11849	28400
1472	11859	28396
1473	11867	28388
1474	11875	28380
1475	11883	28373
1476	11891	28364
1477	11899	28356
1478	11907	28348
1479	11915	28340
1480	11923	28332
1481	11932	28324
1482	11939	28315
1483	11947	28307
1484	11955	28299
1485	11963	28290
1486	11971	28282
1487	11979	28273
1488	11986	28264
1489	11994	28255
1490	12002	28246
1491	12014	28248
1492	12022	28239
1493	12030	28231
1494	12037	28222
1495	12045	28213
1496	12053	28205
1497	12061	28197
1498	12069	28188
1499	12077	28179
1500	12085	28171
1501	12092	28163
1502	12100	28154
1503	12108	28146
1504	12118	28142
1505	12126	28134
1506	12134	28125
1507	12142	28117
1508	12150	28108
1509	12158	28100
1510	12166	28092
1511	12174	28084
1512	12182	28075
1513	12189	28067
1514	12197	28059
1515	12206	28051
1516	12213	28042
1517	12221	28034
1518	12229	28025
1519	12237	28016
1520	12244	28007
1521	12252	27999
1522	12260	27990
1523	12268	27982
1524	12276	27974
1525	12284	27965
1526	12292	27957
1527	12300	27948
1528	12307	27940
1529	12315	27932
1530	12323	27922
1531	12331	27914
1532	12342	27913
1533	12350	27905
1534	12358	27897
1535	12366	27888
1536	12374	27880
1537	12382	27872
1538	12390	27863
1539	12397	27855
1540	12406	27847
1541	12414	27839
1542	12421	27830
1543	12429	27821
1544	12437	27812
1545	12445	27804
1546	12452	27795
1547	12460	27787
1548	12468	27778
1549	12476	27770
1550	12484	27762
1551	12492	27753
1552	12500	27745
1553	12508	27737
1554	12516	27728
1555	12524	27720
1556	12531	27711
1557	12539	27703
1558	12547	27695
1559	12555	27687
1560	12563	27678
1561	12571	27671
1562	12580	27663
1563	12587	27654
1564	12595	27646
1565	12603	27637
1566	12611	27629
1567	12619	27620
1568	12627	27612
1569	12634	27603
1570	12642	27595
1571	12650	27586
1572	12658	27577
1573	12665	27568
1574	12673	27560
1575	12681	27551
1576	12689	27542
1577	12697	27534
1578	12704	27525
1579	12712	27517
1580	12720	27508
1581	12728	27500
1582	12736	27491
1583	12744	27483
1584	12751	27474
1585	12759	27466
1586	12767	27457
1587	12775	27449
1588	12783	27440
1589	12803	27459
1590	12811	27451
1591	12819	27442
1592	12826	27433
1593	12834	27424
1594	12842	27416
1595	12855	27418
1596	12863	27409
1597	12870	27400
1598	12878	27392
1599	12886	27384
1600	12894	27375
1601	12902	27366
1602	12909	27357
1603	12917	27349
1604	12925	27340
1605	12932	27331
1606	12940	27323
1607	12948	27315
1608	12956	27307
1609	12964	27298
1610	12972	27290
1611	12980	27282
1612	12988	27273
1613	12996	27265
1614	13004	27257
1615	13012	27248
1616	13020	27240
1617	13028	27232
1618	13036	27224
1619	13044	27215
1620	13053	27210
1621	13061	27202
1622	13069	27194
1623	13077	27185
1624	13085	27177
1625	13093	27168
1626	13101	27160
1627	13109	27152
1628	13117	27144
1629	13124	27135
1630	13132	27127
1631	13140	27119
1632	13148	27110
1633	13156	27102
1634	13164	27093
1635	13171	27084
1636	13179	27076
1637	13187	27067
1638	13195	27059
1639	13203	27051
1640	13211	27043
1641	13219	27034
1642	13237	27046
1643	13248	27045
1644	13256	27037
1645	13264	27028
1646	13272	27020
1647	13284	27020
1648	13292	27011
1649	13300	27003
1650	13308	26996
1651	13316	26987
1652	13324	26980
1653	13332	26971
1654	13340	26963
1655	13348	26955
1656	13356	26947
1657	13364	26939
1658	13372	26930
1659	13380	26922
1660	13388	26913
1661	13396	26905
1662	13404	26897
1663	13412	26888
1664	13420	26881
1665	13427	26872
1666	13435	26863
1667	13443	26855
1668	13451	26847
1669	13459	26839
1670	13467	26830
1671	13475	26821
1672	13483	26813
1673	13491	26805
1674	13499	26796
1675	13507	26788
